nIter,residual
1,1.0
2,0.68386088404690415
3,0.26914064429874324
4,0.38980235506858507
5,0.27657732695238513
6,0.20389789436017014
7,0.17098651533163459
8,0.1718026532134998
9,0.14542646712058346
10,0.13204298371169021
11,0.12107262138814412
12,0.11314241332091823
13,0.10690797538124848
14,0.10338138114536378
15,0.096604239988591661
16,0.093641231389890445
17,0.090129852498218851
18,0.087031923265570438
19,0.084500703121738394
20,0.082073834693370887
21,0.079889162649999387
22,0.077786021111237308
23,0.075923380397014489
24,0.074164602659188866
25,0.072499832743793402
26,0.070981396282399273
27,0.069526977225134817
28,0.068186915082269206
29,0.066982079862221058
30,0.066014023102780803
31,0.065497790351811844
32,0.065751879192116974
33,0.067000642432219842
34,0.069110886460754029
35,0.071462023265644353
36,0.073200829896970077
37,0.073686150796435299
38,0.072835500631848266
39,0.071110336633620028
40,0.069201219381746573
41,0.067611640908389489
42,0.066477526702472103
43,0.065669251418705166
44,0.065018757929831084
45,0.064429905832588702
46,0.063886608254008562
47,0.063397518815044004
48,0.06297030187506078
49,0.062592061920914599
50,0.062250910862000977
51,0.061931488565117404
52,0.061637441519196451
53,0.061362723956569484
54,0.061115890242487238
55,0.060883907063671396
56,0.06067284459020119
57,0.060466142183973448
58,0.060269601268461634
59,0.060065917664724328
60,0.05985238485346582
61,0.059606346497543081
62,0.05930264290676255
63,0.058903469929897444
64,0.058348022400798789
65,0.05758032604960503
66,0.056524499485230445
67,0.055155373521253451
68,0.053472755662086466
69,0.051582608885384067
70,0.049650291283945019
71,0.047924432485490658
72,0.046634836352600274
73,0.045940866878708866
74,0.045849297829743008
75,0.046227966417327744
76,0.046861993907974714
77,0.047534165404277622
78,0.048084971989953033
79,0.048429409858730371
80,0.048556365950883099
81,0.048504213665894018
82,0.048340189831666748
83,0.048135445019423531
84,0.04794713357588444
85,0.047808833457058532
86,0.047723438303155889
87,0.047670803491172052
88,0.047609586172398674
89,0.047493271580035308
90,0.047273536558519
91,0.046912773757250122
92,0.046382822587842945
93,0.045669915719044489
94,0.044773481935796972
95,0.043712248384393027
96,0.042531601607313133
97,0.041312658490495952
98,0.040176380526642574
99,0.039272482823419552
100,0.038750869813988592
101,0.038715340707974902
102,0.039183040696388567
103,0.040068845602138074
104,0.041209615604852666
105,0.042410194953284373
106,0.043492300259896519
107,0.044326579978718472
108,0.044847226626898475
109,0.045048938888586035
110,0.044973554798354243
111,0.044690088862652494
112,0.04427472215998407
113,0.043795513859369868
114,0.043304216829262651
115,0.042837322271899063
116,0.042420584077914443
117,0.042077589455241447
118,0.041832323172021582
119,0.04171187290625631
120,0.041739015466214266
121,0.04192863333713838
122,0.042276251491124128
123,0.042757830476406057
124,0.043324934855178215
125,0.043914845154443348
126,0.044454745665517964
127,0.044877099477765872
128,0.04512506997353425
129,0.045162436388533886
130,0.044972979493584878
131,0.044559459624285411
132,0.043937705343251941
133,0.043128188855433194
134,0.042153114335513227
135,0.041028979558287972
136,0.039774199178852027
137,0.038405631564756543
138,0.036954082183484664
139,0.035458180329412704
140,0.033977564487318132
141,0.032576270225828076
142,0.031326499739677938
143,0.030282379159059958
144,0.029478685507100536
145,0.028909832428691957
146,0.028538301506291112
147,0.028293425136534007
148,0.028090134537668766
149,0.027838736703584194
150,0.027458622451193661
151,0.026887330282671696
152,0.026085076626752406
153,0.025043343290421072
154,0.023783922170494159
155,0.022367798216624428
156,0.020889011670243235
157,0.01947852785079919
158,0.018284382151480046
159,0.017453928656983749
160,0.017088392581126113
161,0.017215827850562429
162,0.017781178527419578
163,0.018682458921855324
164,0.019809939584390337
165,0.021077582834846814
166,0.022430259420547296
167,0.023840242484780262
168,0.025296478845855484
169,0.026794167013429328
170,0.028325966006217056
171,0.029876920074936912
172,0.031422521699235581
173,0.032930450622129917
174,0.034363720755195656
175,0.035686070875834905
176,0.036866280624582359
177,0.037883344350160136
178,0.0387286715528058
179,0.039408271609452934
180,0.039941029743794688
181,0.040356748226967186
182,0.040690623984684579
183,0.040978224838653973
184,0.041248870524258963
185,0.041521127985067081
186,0.041799613246685817
187,0.042074787850047091
188,0.042325672204256551
189,0.042523775185490262
190,0.042639370521872742
191,0.042645532921064107
192,0.04252365291896848
193,0.042264090862911954
194,0.041868616515731233
195,0.041347153605112152
196,0.040717478646435809
197,0.039999826412647571
198,0.039215583519720175
199,0.038382352091466322
200,0.037513455465068409
201,0.036615562564625399
202,0.035689876782336795
203,0.034732938769039289
204,0.033738924215829927
205,0.032702542126750347
206,0.031620840311087063
207,0.030496201254906458
208,0.029336111296766783
209,0.02815450886002652
210,0.026968996618460944
211,0.025799963269410194
212,0.024666350303771276
213,0.023583758463960634
214,0.022561627380539413
215,0.021602905664598847
216,0.020705494195344492
217,0.019864627973274075
218,0.0190780060228555
219,0.018348174414158043
220,0.017687058297745337
221,0.017113927196562354
222,0.016655200095531779
223,0.016336239260423994
224,0.016177202812940203
225,0.016184128447906031
226,0.016349038319420941
227,0.016649166931578158
228,0.017054992431027545
229,0.017534695226324736
230,0.018061915952767512
231,0.01861722283454267
232,0.019190579651143028
233,0.01977881008330545
234,0.020384461210983744
235,0.021012045623149143
236,0.021666132224575089
237,0.022348694388588216
238,0.023058000397889907
239,0.023787921559155725
240,0.024527810500687867
241,0.025263563783022146
242,0.025978081160763961
243,0.026653584154767474
244,0.027272211554128119
245,0.027818989332228622
246,0.028282023479546583
247,0.028655297187640753
248,0.028937821535551606
249,0.0291354209531214
250,0.029258460391955156
251,0.029322240949590898
252,0.029343627461706739
253,0.029340502015516284
254,0.029328435110687525
255,0.029320290128836482
256,0.02932428517615622
257,0.029344570627528228
258,0.029381141955495807
259,0.029431107810088401
260,0.029489714368740826
261,0.029551315213874871
262,0.029610506597255733
263,0.029662191434844696
264,0.029702442909389979
265,0.029727791713686825
266,0.029735971540697431
267,0.029724851522516957
268,0.029693272782292356
269,0.029639923059152418
270,0.029564322903189715
271,0.029465760647993056
272,0.029344388224371021
273,0.029200230158819462
274,0.029034282325698098
275,0.02884751838405096
276,0.028641808720113241
277,0.028418813645483088
278,0.028180570585901128
279,0.027928315899338071
280,0.027662808124971665
281,0.027383403756332938
282,0.027088405035911096
283,0.026774815705108229
284,0.026438910606280404
285,0.02607679909035833
286,0.025685014550577295
287,0.025261556021398724
288,0.024806002987287853
289,0.024320542284744749
290,0.02380925193475315
291,0.023278862988955863
292,0.022737290367584088
293,0.022194227512029246
294,0.021659350143269574
295,0.021142955267965981
296,0.020654287981486105
297,0.020202252947947877
298,0.019794112027319771
299,0.019436072117961389
